UUID;OBJEKTART;OBJEKTKLASSE_TLM;KUNSTBAUTE;NAME_UUID;NAME;STATUS;SPRACHCODE;NAMEN_TYP;NAMENGRUPPE_UUID;E;N;Z
{2AD25C40-6A48-42B3-AFD7-32F847F421F3};Rodelbahn;TLM_SPORTBAUTE_LIN;k_W;{89A9F895-3F87-44E5-9AC8-DD46E9F43ED7};Kronbergbobbahn;offiziell;Hochdeutsch inkl. Lokalsprachen;Einfacher Name;;2742853;1242402;906
{0C5E9401-2ACD-4EEF-9552-29B5B2C0DA08};Skisprungschanze;TLM_SPORTBAUTE_LIN;k_W;{7145E5A6-16CE-4727-BDF1-335454459F58};Schanzen Kollersweid, Walter Steiner Schanze;offiziell;Hochdeutsch inkl. Lokalsprachen;Einfacher Name;;2744951;1228987;1066
{B5D96C27-B87F-49B9-93EB-B31210196A4E};Rodelbahn;TLM_SPORTBAUTE_LIN;k_W;{CF8E106D-2FC7-4CA1-8814-397BF057E162};Alpe Foppa;offiziell;Italienisch inkl. Lokalsprachen;Einfacher Name;;2712287;1108024;1565
{CEDAEB24-6A36-4CD3-9C08-54FEAB047CF1};Rodelbahn;TLM_SPORTBAUTE_LIN;k_W;{2D623C22-FDCD-4800-BFEC-2EDC03C2D5ED};Sommer-Schlittelbahn Schatzalp;offiziell;Hochdeutsch inkl. Lokalsprachen;Einfacher Name;;2781338;1186202;1889
{566B0913-171C-44BC-8616-9173DAE3F668};Rodelbahn;TLM_SPORTBAUTE_LIN;k_W;{3DCF0331-876A-4E7C-BEA0-49C62CD2EAF7};Rodelbahn Pradaschier;offiziell;Hochdeutsch inkl. Lokalsprachen;Einfacher Name;;2759568;1183366;1493
{E62B05B5-E57E-4E85-B2D3-F449B622E0CA};Bobbahn;TLM_SPORTBAUTE_LIN;k_W;{65AAD4E9-139D-4D86-989A-9A1D38EB5CC5};Olympia Bob Run St.Moritz-Celerina;offiziell;Rumantsch Grischun inkl. Lokalsprachen;Einfacher Name;;2785204;1153213;1780
{1D42D1D6-96D7-498D-A367-D4D39907F130};Rodelbahn;TLM_SPORTBAUTE_LIN;k_W;{BAC75E27-48D0-4B0F-81FF-222021ADA439};Sommer-Rodelbahn Schwarzsee;offiziell;Hochdeutsch inkl. Lokalsprachen;Einfacher Name;;2588742;1168587;1093
{A340BE1D-9C36-4207-87CF-F090C1C9F267};Rodelbahn;TLM_SPORTBAUTE_LIN;k_W;{B75B4163-D56F-42F5-8F02-1A00F8CA80DA};Bob-Luge de Moléson;offiziell;Franzoesisch inkl. Lokalsprachen;Einfacher Name;;2569015;1156777;1146
{DC35CFFB-FD27-45F1-96F1-9BD31E8CCB8D};Rodelbahn;TLM_SPORTBAUTE_LIN;k_W;{0ABE6D2A-FA8B-47F6-8897-AC3E2E5DE90A};Rodelbahn Rellerli;offiziell;Hochdeutsch inkl. Lokalsprachen;Einfacher Name;;2586509;1150964;1807
{40C13EF3-FC4D-4603-87EC-4191E9BE883E};Rodelbahn;TLM_SPORTBAUTE_LIN;k_W;{DA2DAF39-1A12-4C7C-914F-9B5B5AB93B3C};Rodelbahn Oeschinensee;offiziell;Hochdeutsch inkl. Lokalsprachen;Einfacher Name;;2619783;1150157;1684
